W,seed_ratio,sigma,PSNR
0,0.01,3,12.932965612884368
0,0.01,5,12.932956117400083
0,0.01,10,12.932954459337862
0,0.03,3,12.93296334149746
0,0.03,5,12.932956310942359
0,0.03,10,12.93295514150704
0,0.05,3,12.932962158860057
0,0.05,5,12.932956446691417
0,0.05,10,12.932955554304943
1,0.01,3,13.648995685951826
1,0.01,5,13.64898564728673
1,0.01,10,13.648983306346182
1,0.03,3,13.648993173178056
1,0.03,5,13.648985413172362
1,0.03,10,13.648983893817856
1,0.05,3,13.648991840214407
1,0.05,5,13.648985436451785
1,0.05,10,13.648984229587187
2,0.01,3,14.126226931386531
2,0.01,5,14.12621840838693
2,0.01,10,14.126216269369875
2,0.03,3,14.126225163554292
2,0.03,5,14.126218213731882
2,0.03,10,14.126216723848113
2,0.05,3,14.126223817587903
2,0.05,5,14.126218311530437
2,0.05,10,14.12621700462763
3,0.01,3,14.292972359621086
3,0.01,5,14.292966841364649
3,0.01,10,14.292965706048681
3,0.03,3,14.292971999445708
3,0.03,5,14.292966946458677
3,0.03,10,14.292966038273802
3,0.05,3,14.292970964581764
3,0.05,5,14.292967141189516
3,0.05,10,14.292966266506701
5,0.01,3,13.928423044284248
5,0.01,5,13.928422457337064
5,0.01,10,13.928425046635713
5,0.03,3,13.928424907684786
5,0.03,5,13.92842386764007
5,0.03,10,13.928425303991459
5,0.05,3,13.928425254461143
5,0.05,5,13.9284241218827
5,0.05,10,13.928425415555672
10,0.01,3,12.411212197485517
10,0.01,5,12.411216681086813
10,0.01,10,12.411222788701346
10,0.03,3,12.411214994607052
10,0.03,5,12.41121854511115
10,0.03,10,12.41122319790362
10,0.05,3,12.411216520454527
10,0.05,5,12.411219501303357
10,0.05,10,12.411223329815702
