image,W,seed_ratio,sigma,PSNR
img5,0,0.01,3,17.541738592495943
img5,0,0.01,5,17.541734090970888
img5,0,0.01,10,17.54173135586213
img5,0,0.03,3,17.54173699281472
img5,0,0.03,5,17.541733428099217
img5,0,0.03,10,17.54173182634308
img5,0,0.05,3,17.541736018749866
img5,0,0.05,5,17.541733142564418
img5,0,0.05,10,17.54173190460717
img5,1,0.01,3,18.040618861470314
img5,1,0.01,5,18.040614188790972
img5,1,0.01,10,18.040613151169367
img5,1,0.03,3,18.040617995060202
img5,1,0.03,5,18.040614237693337
img5,1,0.03,10,18.040613379805958
img5,1,0.05,3,18.040617132726094
img5,1,0.05,5,18.040614248249465
img5,1,0.05,10,18.040613491744637
img5,2,0.01,3,18.160189993658285
img5,2,0.01,5,18.16018687695484
img5,2,0.01,10,18.16018744244
img5,2,0.03,3,18.16019000342553
img5,2,0.03,5,18.160187753680475
img5,2,0.03,10,18.160187731409877
img5,2,0.05,3,18.160189837847323
img5,2,0.05,5,18.160188125170382
img5,2,0.05,10,18.160187955370933
img5,3,0.01,3,17.95465089874519
img5,3,0.01,5,17.954650797715885
img5,3,0.01,10,17.954652504905468
img5,3,0.03,3,17.95465207684712
img5,3,0.03,5,17.95465218481673
img5,3,0.03,10,17.954653008811242
img5,3,0.05,3,17.954652590972447
img5,3,0.05,5,17.954652850653982
img5,3,0.05,10,17.954653304896677
img5,5,0.01,3,17.067908631935293
img5,5,0.01,5,17.06791341447635
img5,5,0.01,10,17.067916108226555
img5,5,0.03,3,17.067911944353
img5,5,0.03,5,17.0679152231043
img5,5,0.03,10,17.067917062319733
img5,5,0.05,3,17.067913290235655
img5,5,0.05,5,17.067916160919058
img5,5,0.05,10,17.06791741459782
img5,10,0.01,3,15.052530487001423
img5,10,0.01,5,15.052534766304698
img5,10,0.01,10,15.052535497024715
img5,10,0.03,3,15.052533581030005
img5,10,0.03,5,15.052536586355894
img5,10,0.03,10,15.052537204659082
img5,10,0.05,3,15.052534625007223
img5,10,0.05,5,15.05253734695771
img5,10,0.05,10,15.052537983206856
