image,W,seed_ratio,sigma,PSNR
img1,0,0.01,3,14.696398713662468
img1,0,0.01,5,14.740194150787469
img1,0,0.01,10,14.764590044978931
img1,0,0.03,3,14.746450813170542
img1,0,0.03,5,14.785143128642144
img1,0,0.03,10,14.810875069785173
img1,0,0.05,3,14.776668531090415
img1,0,0.05,5,14.808763454948748
img1,0,0.05,10,14.831498501043693
img1,1,0.01,3,15.286709813927137
img1,1,0.01,5,15.339858617975015
img1,1,0.01,10,15.369047956705334
img1,1,0.03,3,15.339649667124412
img1,1,0.03,5,15.38195607855256
img1,1,0.03,10,15.411987485181353
img1,1,0.05,3,15.37253944148491
img1,1,0.05,5,15.40879698363624
img1,1,0.05,10,15.4341226237539
img1,2,0.01,3,15.12315941731448
img1,2,0.01,5,15.170618558204527
img1,2,0.01,10,15.198062843272474
img1,2,0.03,3,15.166042339812872
img1,2,0.03,5,15.205393820629531
img1,2,0.03,10,15.233867670462985
img1,2,0.05,3,15.196626295223892
img1,2,0.05,5,15.231844809354598
img1,2,0.05,10,15.254730340046557
img1,3,0.01,3,14.619606553356457
img1,3,0.01,5,14.655742900851074
img1,3,0.01,10,14.680891172803634
img1,3,0.03,3,14.655145656796149
img1,3,0.03,5,14.685648128899988
img1,3,0.03,10,14.70984272422485
img1,3,0.05,3,14.683438432821648
img1,3,0.05,5,14.711538256958562
img1,3,0.05,10,14.731863907705758
img1,5,0.01,3,13.703704732159697
img1,5,0.01,5,13.736950747058842
img1,5,0.01,10,13.7602473236461
img1,5,0.03,3,13.740661261878358
img1,5,0.03,5,13.766933808250437
img1,5,0.03,10,13.78739967398336
img1,5,0.05,3,13.76717534276818
img1,5,0.05,5,13.79122542318182
img1,5,0.05,10,13.809148960170772
img1,10,0.01,3,12.651853618260283
img1,10,0.01,5,12.681668076933972
img1,10,0.01,10,12.6969013233831
img1,10,0.03,3,12.69307828644184
img1,10,0.03,5,12.71207672381405
img1,10,0.03,10,12.72345286273742
img1,10,0.05,3,12.717105646815842
img1,10,0.05,5,12.733453601274256
img1,10,0.05,10,12.743929845289163
